Student ID,First Name,Last Name,Date of Birth,Class Name,Score
79.0,Cayla,Doyle,2003-04-10,Class5,70.0
80.0,Ahmad,Gislason,2001-06-15,Class1,65.0
81.0,Dewey,Mueller,2006-04-10,Class2,59.0
82.0,Stephani,Purdy,2002-01-19,Class3,73.0
83.0,Ruthie,Volkman,2007-12-13,Class4,61.0
84.0,Dalton,Mann,2005-01-30,Class5,58.0
85.0,Juliann,Hartmann,2002-03-07,Class1,71.0
86.0,Murray,Carter,2003-08-25,Class2,69.0
87.0,Dania,Leannon,2009-01-19,Class3,61.0
88.0,Delinda,Heller,2008-01-01,Class4,68.0
89.0,Kimberlee,Rau,2000-01-28,Class5,60.0
90.0,Bertie,Hermiston,2008-10-05,Class1,73.0
91.0,Myesha,Barrows,2002-03-19,Class2,72.0
92.0,Truman,Balistreri,2004-03-25,Class3,75.0
93.0,Marya,Luettgen,2008-03-13,Class4,60.0
94.0,Alysha,Bosco,2009-05-10,Class5,64.0
95.0,Rolland,Klocko,2000-02-16,Class1,71.0
96.0,Frederica,Bailey,2007-03-15,Class2,57.0
97.0,Florencio,Yost,2002-06-14,Class3,64.0
98.0,Ivan,Schmeler,2002-08-13,Class4,68.0
99.0,Melvin,Murray,2007-03-04,Class5,62.0
100.0,Dominga,Fisher,2005-06-23,Class1,69.0
